,first,second,score
388,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
389,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.","If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
390,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
391,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.","You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
392,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
393,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",Comfort is important to you and you hate getting your hands dirty.,5
394,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.","At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
395,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",4
396,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
397,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",You aim to please in practical and earthy ways.,5
398,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",More about,na
399,Pessimism and being too self-critical are two faults you should try to improve upon.,"You may tend to worry too much, especially about the small stuff, the little details.",2
400,Pessimism and being too self-critical are two faults you should try to improve upon.,Too much worry can lead to health problems.,3
401,Pessimism and being too self-critical are two faults you should try to improve upon.,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",3
402,Pessimism and being too self-critical are two faults you should try to improve upon.,You need to get rid of any negativity that stems from a feeling of inadequacy.,3
403,Pessimism and being too self-critical are two faults you should try to improve upon.,"You tend to look younger than you really are, no matter what your age.",5
404,Pessimism and being too self-critical are two faults you should try to improve upon.,"You are very restless and nervous, so you seldom have much weight on you.",5
405,Pessimism and being too self-critical are two faults you should try to improve upon.,At times you can be very indecisive and unsure.,4
406,Pessimism and being too self-critical are two faults you should try to improve upon.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
407,Pessimism and being too self-critical are two faults you should try to improve upon.,You soak up feelings like a sponge.,5
408,Pessimism and being too self-critical are two faults you should try to improve upon.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",5
409,Pessimism and being too self-critical are two faults you should try to improve upon.,"Learning to control your own moods may be very difficult, yet necessary, for you.",5
410,Pessimism and being too self-critical are two faults you should try to improve upon.,Your greatest need is to nurture and mother someone or ones.,5
411,Pessimism and being too self-critical are two faults you should try to improve upon.,You often appear irrational to others because you can't always explain the reason or source of your feelings.,4
412,Pessimism and being too self-critical are two faults you should try to improve upon.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,5
413,Pessimism and being too self-critical are two faults you should try to improve upon.,You are also very sympathetic and understand the unspoken feelings and needs of others.,5
414,Pessimism and being too self-critical are two faults you should try to improve upon.,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",4
415,Pessimism and being too self-critical are two faults you should try to improve upon.,Security is very important to you and you look for it in your home and family life.,5
416,Pessimism and being too self-critical are two faults you should try to improve upon.,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
417,Pessimism and being too self-critical are two faults you should try to improve upon.,You are very tenacious and you do not give up or let go of things or people easily.,5
418,Pessimism and being too self-critical are two faults you should try to improve upon.,Your mother is/was a strong influence for good or ill in your life.,5
419,Pessimism and being too self-critical are two faults you should try to improve upon.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
420,Pessimism and being too self-critical are two faults you should try to improve upon.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
421,Pessimism and being too self-critical are two faults you should try to improve upon.,Nothing or no one is ever gone if they leave their memory behind.,5
422,Pessimism and being too self-critical are two faults you should try to improve upon.,"Thus, you can become quite possessive.",5
423,Pessimism and being too self-critical are two faults you should try to improve upon.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
424,Pessimism and being too self-critical are two faults you should try to improve upon.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
425,Pessimism and being too self-critical are two faults you should try to improve upon.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
426,Pessimism and being too self-critical are two faults you should try to improve upon.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,4
427,Pessimism and being too self-critical are two faults you should try to improve upon.,Exercise is a good way to release this tension.,5
428,Pessimism and being too self-critical are two faults you should try to improve upon.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
429,Pessimism and being too self-critical are two faults you should try to improve upon.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
430,Pessimism and being too self-critical are two faults you should try to improve upon.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
431,Pessimism and being too self-critical are two faults you should try to improve upon.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
432,Pessimism and being too self-critical are two faults you should try to improve upon.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
433,Pessimism and being too self-critical are two faults you should try to improve upon.,Debate and argument appeal to you.,5
434,Pessimism and being too self-critical are two faults you should try to improve upon.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
435,Pessimism and being too self-critical are two faults you should try to improve upon.,"This is the jack-of-all-trades, master-of-none position.",5
436,Pessimism and being too self-critical are two faults you should try to improve upon.,"There is danger, then, of superficiality.",5
437,Pessimism and being too self-critical are two faults you should try to improve upon.,"Control of thought, word, and action is necessary in order to be successful.",4
438,Pessimism and being too self-critical are two faults you should try to improve upon.,"Find your focus, stay with it and develop perseverance.",5
439,Pessimism and being too self-critical are two faults you should try to improve upon.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
440,Pessimism and being too self-critical are two faults you should try to improve upon.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
441,Pessimism and being too self-critical are two faults you should try to improve upon.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
442,Pessimism and being too self-critical are two faults you should try to improve upon.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
443,Pessimism and being too self-critical are two faults you should try to improve upon.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
444,Pessimism and being too self-critical are two faults you should try to improve upon.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
445,Pessimism and being too self-critical are two faults you should try to improve upon.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
446,Pessimism and being too self-critical are two faults you should try to improve upon.,Comfort is important to you and you hate getting your hands dirty.,5
447,Pessimism and being too self-critical are two faults you should try to improve upon.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
448,Pessimism and being too self-critical are two faults you should try to improve upon.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
449,Pessimism and being too self-critical are two faults you should try to improve upon.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
450,Pessimism and being too self-critical are two faults you should try to improve upon.,You aim to please in practical and earthy ways.,5
451,Pessimism and being too self-critical are two faults you should try to improve upon.,More about,na
452,"You may tend to worry too much, especially about the small stuff, the little details.",Too much worry can lead to health problems.,2
453,"You may tend to worry too much, especially about the small stuff, the little details.","You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",3
454,"You may tend to worry too much, especially about the small stuff, the little details.",You need to get rid of any negativity that stems from a feeling of inadequacy.,4
455,"You may tend to worry too much, especially about the small stuff, the little details.","You tend to look younger than you really are, no matter what your age.",5
456,"You may tend to worry too much, especially about the small stuff, the little details.","You are very restless and nervous, so you seldom have much weight on you.",2
457,"You may tend to worry too much, especially about the small stuff, the little details.",At times you can be very indecisive and unsure.,4
458,"You may tend to worry too much, especially about the small stuff, the little details.","If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
459,"You may tend to worry too much, especially about the small stuff, the little details.",You soak up feelings like a sponge.,5
460,"You may tend to worry too much, especially about the small stuff, the little details.","Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",4
461,"You may tend to worry too much, especially about the small stuff, the little details.","Learning to control your own moods may be very difficult, yet necessary, for you.",4
462,"You may tend to worry too much, especially about the small stuff, the little details.",Your greatest need is to nurture and mother someone or ones.,5
463,"You may tend to worry too much, especially about the small stuff, the little details.",You often appear irrational to others because you can't always explain the reason or source of your feelings.,4
464,"You may tend to worry too much, especially about the small stuff, the little details.",Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,5
465,"You may tend to worry too much, especially about the small stuff, the little details.",You are also very sympathetic and understand the unspoken feelings and needs of others.,5
466,"You may tend to worry too much, especially about the small stuff, the little details.","You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",5
467,"You may tend to worry too much, especially about the small stuff, the little details.",Security is very important to you and you look for it in your home and family life.,4
468,"You may tend to worry too much, especially about the small stuff, the little details.",Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
469,"You may tend to worry too much, especially about the small stuff, the little details.",You are very tenacious and you do not give up or let go of things or people easily.,5
470,"You may tend to worry too much, especially about the small stuff, the little details.",Your mother is/was a strong influence for good or ill in your life.,5
471,"You may tend to worry too much, especially about the small stuff, the little details.","You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
472,"You may tend to worry too much, especially about the small stuff, the little details.",You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
473,"You may tend to worry too much, especially about the small stuff, the little details.",Nothing or no one is ever gone if they leave their memory behind.,5
474,"You may tend to worry too much, especially about the small stuff, the little details.","Thus, you can become quite possessive.",5
475,"You may tend to worry too much, especially about the small stuff, the little details.","You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
476,"You may tend to worry too much, especially about the small stuff, the little details.","If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
477,"You may tend to worry too much, especially about the small stuff, the little details.","You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
478,"You may tend to worry too much, especially about the small stuff, the little details.",You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,2
479,"You may tend to worry too much, especially about the small stuff, the little details.",Exercise is a good way to release this tension.,5
480,"You may tend to worry too much, especially about the small stuff, the little details.","You are clever, witty, and always have a joke or comeback ready for any situation.",5
481,"You may tend to worry too much, especially about the small stuff, the little details.",You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
482,"You may tend to worry too much, especially about the small stuff, the little details.",You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
483,"You may tend to worry too much, especially about the small stuff, the little details.",You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
484,"You may tend to worry too much, especially about the small stuff, the little details.",You are handy with your hands and may be ambidextrous or mechanically inclined.,5
485,"You may tend to worry too much, especially about the small stuff, the little details.",Debate and argument appeal to you.,5
486,"You may tend to worry too much, especially about the small stuff, the little details.",There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
487,"You may tend to worry too much, especially about the small stuff, the little details.","This is the jack-of-all-trades, master-of-none position.",5
488,"You may tend to worry too much, especially about the small stuff, the little details.","There is danger, then, of superficiality.",5
489,"You may tend to worry too much, especially about the small stuff, the little details.","Control of thought, word, and action is necessary in order to be successful.",4
490,"You may tend to worry too much, especially about the small stuff, the little details.","Find your focus, stay with it and develop perseverance.",5
491,"You may tend to worry too much, especially about the small stuff, the little details.","Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
492,"You may tend to worry too much, especially about the small stuff, the little details.","Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
493,"You may tend to worry too much, especially about the small stuff, the little details.",You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
494,"You may tend to worry too much, especially about the small stuff, the little details.","If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
495,"You may tend to worry too much, especially about the small stuff, the little details.",You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
496,"You may tend to worry too much, especially about the small stuff, the little details.","You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
497,"You may tend to worry too much, especially about the small stuff, the little details.",You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
498,"You may tend to worry too much, especially about the small stuff, the little details.",Comfort is important to you and you hate getting your hands dirty.,5
499,"You may tend to worry too much, especially about the small stuff, the little details.","At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
500,"You may tend to worry too much, especially about the small stuff, the little details.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
501,"You may tend to worry too much, especially about the small stuff, the little details.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
502,"You may tend to worry too much, especially about the small stuff, the little details.",You aim to please in practical and earthy ways.,5
503,"You may tend to worry too much, especially about the small stuff, the little details.",More about,na
504,Too much worry can lead to health problems.,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",2
505,Too much worry can lead to health problems.,You need to get rid of any negativity that stems from a feeling of inadequacy.,3
506,Too much worry can lead to health problems.,"You tend to look younger than you really are, no matter what your age.",5
507,Too much worry can lead to health problems.,"You are very restless and nervous, so you seldom have much weight on you.",2
508,Too much worry can lead to health problems.,At times you can be very indecisive and unsure.,3
509,Too much worry can lead to health problems.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
510,Too much worry can lead to health problems.,You soak up feelings like a sponge.,4
511,Too much worry can lead to health problems.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",4
512,Too much worry can lead to health problems.,"Learning to control your own moods may be very difficult, yet necessary, for you.",3
513,Too much worry can lead to health problems.,Your greatest need is to nurture and mother someone or ones.,5
514,Too much worry can lead to health problems.,You often appear irrational to others because you can't always explain the reason or source of your feelings.,3
515,Too much worry can lead to health problems.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,5
516,Too much worry can lead to health problems.,You are also very sympathetic and understand the unspoken feelings and needs of others.,4
517,Too much worry can lead to health problems.,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",5
518,Too much worry can lead to health problems.,Security is very important to you and you look for it in your home and family life.,4
519,Too much worry can lead to health problems.,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,6
520,Too much worry can lead to health problems.,You are very tenacious and you do not give up or let go of things or people easily.,5
521,Too much worry can lead to health problems.,Your mother is/was a strong influence for good or ill in your life.,5
522,Too much worry can lead to health problems.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
523,Too much worry can lead to health problems.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
524,Too much worry can lead to health problems.,Nothing or no one is ever gone if they leave their memory behind.,5
525,Too much worry can lead to health problems.,"Thus, you can become quite possessive.",5
526,Too much worry can lead to health problems.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
527,Too much worry can lead to health problems.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
528,Too much worry can lead to health problems.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
529,Too much worry can lead to health problems.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,2
530,Too much worry can lead to health problems.,Exercise is a good way to release this tension.,3
531,Too much worry can lead to health problems.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
532,Too much worry can lead to health problems.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
533,Too much worry can lead to health problems.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
534,Too much worry can lead to health problems.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
535,Too much worry can lead to health problems.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
536,Too much worry can lead to health problems.,Debate and argument appeal to you.,5
537,Too much worry can lead to health problems.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
538,Too much worry can lead to health problems.,"This is the jack-of-all-trades, master-of-none position.",5
539,Too much worry can lead to health problems.,"There is danger, then, of superficiality.",5
540,Too much worry can lead to health problems.,"Control of thought, word, and action is necessary in order to be successful.",2
541,Too much worry can lead to health problems.,"Find your focus, stay with it and develop perseverance.",5
542,Too much worry can lead to health problems.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
543,Too much worry can lead to health problems.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
544,Too much worry can lead to health problems.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
545,Too much worry can lead to health problems.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
546,Too much worry can lead to health problems.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
547,Too much worry can lead to health problems.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
548,Too much worry can lead to health problems.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
549,Too much worry can lead to health problems.,Comfort is important to you and you hate getting your hands dirty.,5
550,Too much worry can lead to health problems.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
551,Too much worry can lead to health problems.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
552,Too much worry can lead to health problems.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
553,Too much worry can lead to health problems.,You aim to please in practical and earthy ways.,5
554,Too much worry can lead to health problems.,More about,na
555,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You need to get rid of any negativity that stems from a feeling of inadequacy.,2
556,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You tend to look younger than you really are, no matter what your age.",5
557,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You are very restless and nervous, so you seldom have much weight on you.",5
558,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",At times you can be very indecisive and unsure.,5
559,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",2
560,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You soak up feelings like a sponge.,3
561,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",5
562,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Learning to control your own moods may be very difficult, yet necessary, for you.",2
563,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Your greatest need is to nurture and mother someone or ones.,5
564,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You often appear irrational to others because you can't always explain the reason or source of your feelings.,4
565,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,4
566,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You are also very sympathetic and understand the unspoken feelings and needs of others.,5
567,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",3
568,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Security is very important to you and you look for it in your home and family life.,5
569,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
570,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You are very tenacious and you do not give up or let go of things or people easily.,4
571,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Your mother is/was a strong influence for good or ill in your life.,5
572,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
573,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
574,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Nothing or no one is ever gone if they leave their memory behind.,5
575,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Thus, you can become quite possessive.",4
576,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You have the memory of an elephant, but you must learn to forgive and forget past hurts.",3
577,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
578,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
579,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,4
580,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Exercise is a good way to release this tension.,5
581,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You are clever, witty, and always have a joke or comeback ready for any situation.",5
582,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
583,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
584,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
585,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You are handy with your hands and may be ambidextrous or mechanically inclined.,5
586,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Debate and argument appeal to you.,5
587,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
588,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","This is the jack-of-all-trades, master-of-none position.",5
589,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","There is danger, then, of superficiality.",5
590,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Control of thought, word, and action is necessary in order to be successful.",4
591,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Find your focus, stay with it and develop perseverance.",5
592,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
593,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
594,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
595,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
596,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
597,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
598,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
599,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",Comfort is important to you and you hate getting your hands dirty.,5
600,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
601,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",4
602,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",4
603,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",You aim to please in practical and earthy ways.,5
604,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",More about,na
605,You need to get rid of any negativity that stems from a feeling of inadequacy.,"You tend to look younger than you really are, no matter what your age.",5
606,You need to get rid of any negativity that stems from a feeling of inadequacy.,"You are very restless and nervous, so you seldom have much weight on you.",4
607,You need to get rid of any negativity that stems from a feeling of inadequacy.,At times you can be very indecisive and unsure.,5
608,You need to get rid of any negativity that stems from a feeling of inadequacy.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
609,You need to get rid of any negativity that stems from a feeling of inadequacy.,You soak up feelings like a sponge.,5
610,You need to get rid of any negativity that stems from a feeling of inadequacy.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",5
611,You need to get rid of any negativity that stems from a feeling of inadequacy.,"Learning to control your own moods may be very difficult, yet necessary, for you.",5
612,You need to get rid of any negativity that stems from a feeling of inadequacy.,Your greatest need is to nurture and mother someone or ones.,5
613,You need to get rid of any negativity that stems from a feeling of inadequacy.,You often appear irrational to others because you can't always explain the reason or source of your feelings.,4
614,You need to get rid of any negativity that stems from a feeling of inadequacy.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,4
615,You need to get rid of any negativity that stems from a feeling of inadequacy.,You are also very sympathetic and understand the unspoken feelings and needs of others.,4
616,You need to get rid of any negativity that stems from a feeling of inadequacy.,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",5
617,You need to get rid of any negativity that stems from a feeling of inadequacy.,Security is very important to you and you look for it in your home and family life.,3
618,You need to get rid of any negativity that stems from a feeling of inadequacy.,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
619,You need to get rid of any negativity that stems from a feeling of inadequacy.,You are very tenacious and you do not give up or let go of things or people easily.,5
620,You need to get rid of any negativity that stems from a feeling of inadequacy.,Your mother is/was a strong influence for good or ill in your life.,5
621,You need to get rid of any negativity that stems from a feeling of inadequacy.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
622,You need to get rid of any negativity that stems from a feeling of inadequacy.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
623,You need to get rid of any negativity that stems from a feeling of inadequacy.,Nothing or no one is ever gone if they leave their memory behind.,5
624,You need to get rid of any negativity that stems from a feeling of inadequacy.,"Thus, you can become quite possessive.",5
625,You need to get rid of any negativity that stems from a feeling of inadequacy.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
626,You need to get rid of any negativity that stems from a feeling of inadequacy.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
627,You need to get rid of any negativity that stems from a feeling of inadequacy.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
628,You need to get rid of any negativity that stems from a feeling of inadequacy.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,3
629,You need to get rid of any negativity that stems from a feeling of inadequacy.,Exercise is a good way to release this tension.,4
